X,Y,Loc,DaysOver35,DaysOver40,Lat,Long
-255775.354540309,2227522.3522363,Nasik City,"22","2",19.997453,73.789802
84056.7798823215,2294097.81206504,Akola,"26","24",20.700216,77.008168
250323.735462461,2295813.13442349,Wardha,"25","22",20.745319,78.602195
380968.61997891,2279387.92195888,Bramhapuri,"26","21",20.609855,79.857683
1004177.41312276,2251618.93829899,Bhubaneswar,"28","3",20.296059,85.82454
1098584.84078078,2307801.47096878,Chandbali,"26","8",20.773992,86.743695
1086512.06728806,2256505.89111082,Paradip C. W. R.,"4","0",20.316552,86.611363
-366443.964669904,2231860.39838813,Dahanu,"14","0",19.990267,72.739659
-358588.443841299,2129089.72696681,Bombay / Santacruz,"2","0",19.074443,72.860487
-88761.0980010307,2208618.72889379,Aurangabad Chikalthan Aerodrome,"24","14",19.885219,75.382629
55675.8827684026,2135100.21883843,Parbhani,"25","21",19.260838,76.774776
607182.288457907,2110670.10884634,Jagdalpur,"23","4",19.086138,82.018843
906070.71422826,2134638.80745441,Gopalpur,"4","0",19.264721,84.862005
1006430.62362289,2198087.75074136,Puri,"16","0",19.813455,85.831236
-364318.910424338,2110606.19919087,Bombay / Colaba,"0","0",18.906703,72.814712
-315475.95428763,2117546.05087241,Matheran,"6","0",18.988659,73.271179
-255527.89916945,2062780.73552465,Poona,"25","4",18.52043,73.856744
193454.411052239,2067081.80268972,Nizamabad,"25","19",18.672505,78.094087
343287.842420637,2074025.90438236,Ramgundam,"25","20",18.751865,79.51337
347380.708801809,1991579.52019731,Hanamkonda,"22","17",18.007234,79.558392
829901.429607817,2030483.64759363,Kalingapatam,"8","0",18.338663,84.121084
-320432.07837789,1894626.22410839,Ratnagiri,"3","0",16.990215,73.312023
-280381.66363472,1997997.10298888,Mahabaleshwar,"0","0",17.930729,73.647734
-241933.062815428,1968611.40794477,Satara,"25","2",17.680464,74.018261
-40832.3022549715,1959867.65500811,Sholapur,"29","17",17.659919,75.906391
226650.350847119,1907952.71641275,Hyderabad Airport,"23","5",17.240263,78.429385
315717.581910926,1886729.23836644,Nalgonda,"26","21",17.057466,79.268417
735313.67818591,1956921.20076051,Vishakhapatnam,"25","0",17.686816,83.218482
-221732.285758908,1859193.09994006,Kolhapur,"18","0",16.704987,74.243253
345545.238625238,1830825.02820463,Rentachintala,"27","22",16.554467,79.552454
479521.388086698,1828832.3170665,Vijayawada / Gannavaram,"25","10",16.541391,80.808071
423897.15286412,1854515.6958499,Nandigama,"27","14",16.772416,80.28591
513925.407108151,1788949.22091482,Machilipatnam,"24","8",16.180892,81.130272
574371.394373099,1816958.41792334,Narsapur,"18","3",16.432983,81.69662
632800.669744748,1878767.8157326,Kakinada,"26","7",16.989065,82.247465
-271011.421219257,1725563.9119731,Goa / Panjim,"19","0",15.49093,73.82785
-272611.111052816,1714243.47800824,Mormugao,"9","0",15.388909,73.816567
-76277.1916049062,1713250.9421078,Gadag,"27","0",15.431541,75.635515
182623.04818352,1752163.34169727,Kurnool,"29","18",15.828126,78.037279
442960.396193036,1758383.03866007,Bapatla,"24","12",15.903945,80.467138
398099.505142644,1714488.32809295,Ongole,"22","12",15.505723,80.049922
3045.81940853276,1577532.61793715,Chitradurga,"17","0",14.225093,76.398046
133814.924247491,1625897.49920483,Pbo Anantapur,"28","17",14.681888,77.600591
391689.40056568,1648968.43843714,Kavali,"29","17",14.913181,79.99298
390754.298242158,1596917.47265989,Nellore,"26","17",14.442599,79.986456
328996.116839657,1507225.14974128,Tirupathi,"27","17",13.628756,79.41918
417868.913828434,1443555.95714829,Chennai / Numgambakkam,"24","7",13.056947,80.242469
-164367.240935552,1443023.51882495,Mangalore / Bajpe,"11","0",12.98102,74.884489
130470.821381272,1436462.14053387,Bangalore,"6","0",12.971599,77.594563
-70439.1270687311,1249673.52804643,Kozhikode,"29","0",11.258753,75.78041
-114029.875532205,1318895.7405577,Cannur,"21","0",11.874478,75.370366
29960.453983998,1264834.78037679,Udhagamandalam,"0","0",11.410204,76.695032
40901.4629534163,1258331.54996121,Coonoor,"0","0",11.353002,76.79591
-52210.7897555457,1236230.60304832,M.o. Karipur Airport,"7","0",11.140534,75.948849
64447.6412098092,1222704.67635234,Coimbatore / Peelamedu,"20","0",11.034576,77.01556
366119.945122082,1298985.16275302,Cuddalore,"21","2",11.748042,79.771369
296390.847271738,1193047.40057745,Thanjavur,"23","0",10.786999,79.137827
-5189.25303571811,1125779.8772961,Cochin Int. Airport Nedumbassery,"7","0",10.151783,76.392958
115286.432230965,1133836.32543995,Kodaikanal,"0","0",10.238114,77.489182
195890.252906126,1303162.77353787,Yercaud,"0","0",11.774792,78.209705
56833.1531916262,1144371.6695323,Valparai,"0","0",10.326973,76.955397
162192.108545595,1213025.42219129,K. Paramathy,"29","10",10.957611,77.909604
249011.386354029,1193754.79969639,Tiruchchirapalli,"26","2",10.790483,78.704673
373019.381096959,1207979.38933728,Karaikal,"20","0",10.92544,79.838006
322582.548601443,1143600.63759744,Atiramapattinam,"9","0",10.341318,79.379645
-18435.6393317197,1103396.38704923,Cochin / Willingdon,"0","0",9.948309,76.275376
184142.363033322,1098511.71276249,Madurai,"22","2",9.925201,78.119775
282620.633351795,1077725.58393809,Tondi,"19","0",9.743826,79.018438
52450.1107452965,944598.275957493,Thiruvananthapuram,"3","0",8.524139,76.936638
119614.109669535,895235.241037439,Kanniyakumari,"6","0",8.084351,77.549502
102291.343004888,4009699.51096794,Dummy1,"0","0",36.150489,76.5802
2147632.71531008,3230396.9852077,Dummy2,"0","0",28.163276,97.651978
-831341.118451146,2676536.06250283,Dummy3,"0","0",23.64877,68.021851
