FIPS,NumBlds,BldsSFHA,BldsPctSFHA,Place,Policies,PctPolicies,PctDiff,Var1Class,Var2Class,VarClass
1055,58312,1895,3.249759912,ETOWAH COUNTY ALABAMA,296,0.507614213,-2.742145699,B,2,B2
37107,33629,1896,5.63799102,LENOIR COUNTY NORTH CAROLINA,503,1.49573285,-4.14225817,B,2,B2
42101,34485,1897,5.500942439,PHILADELPHIA COUNTY PENNSYLVANIA,3012,8.734232275,3.233289836,B,2,B2
51067,38172,1898,4.972230955,FRANKLIN COUNTY VIRGINIA,107,0.280310175,-4.69192078,B,2,B2
53011,123141,1908,1.549443321,CLARK COUNTY WASHINGTON,980,0.795835668,-0.753607653,B,2,B2
13039,20267,1911,9.429121232,CAMDEN COUNTY GEORGIA,3221,15.89283071,6.463709478,A,2,A2
48139,69015,1912,2.770412229,ELLIS COUNTY TEXAS,613,0.888212707,-1.882199522,B,2,B2
51059,203593,1914,0.940110908,FAIRFAX COUNTY VIRGINIA,5755,2.826718011,1.886607103,B,2,B2
28149,17969,1915,10.65724303,WARREN COUNTY MISSISSIPPI,403,2.242751405,-8.414491625,C,2,C2
55073,82100,1915,2.332521315,MARATHON COUNTY WISCONSIN,258,0.314250914,-2.018270401,B,2,B2
44007,165291,1917,1.159772764,PROVIDENCE COUNTY RHODE ISLAND,2007,1.21422219,0.054449426,B,2,B2
17105,26104,1920,7.355194606,LIVINGSTON COUNTY ILLINOIS,215,0.823628563,-6.531566043,C,2,C2
45007,97297,1925,1.978478268,ANDERSON COUNTY SOUTH CAROLINA,154,0.158278261,-1.820200007,B,2,B2
1071,37084,1934,5.215187143,JACKSON COUNTY ALABAMA,162,0.436846079,-4.778341064,B,2,B2
26049,168500,1934,1.147774481,GENESEE COUNTY MICHIGAN,385,0.228486647,-0.919287834,B,2,B2
47189,54394,1940,3.566569842,WILSON COUNTY TENNESSEE,846,1.555318601,-2.011251241,B,2,B2
45045,176739,1950,1.103321847,GREENVILLE COUNTY SOUTH CAROLINA,1175,0.664822139,-0.438499708,B,2,B2
13135,248170,1959,0.789378249,GWINNETT COUNTY GEORGIA,1217,0.490389652,-0.298988597,B,2,B2
1051,41032,1964,4.786508091,ELMORE COUNTY ALABAMA,422,1.028465588,-3.758042503,B,2,B2
5107,11322,1968,17.38208797,PHILLIPS COUNTY ARKANSAS,160,1.413177884,-15.96891009,C,2,C2
42061,29554,1976,6.686066184,HUNTINGDON COUNTY PENNSYLVANIA,293,0.991405563,-5.694660621,C,2,C2
41053,37313,1979,5.303781524,POLK COUNTY OREGON,447,1.197973896,-4.105807628,B,2,B2
18035,55644,1979,3.556537992,DELAWARE COUNTY INDIANA,370,0.664941413,-2.891596579,B,2,B2
36105,46029,1981,4.303808469,SULLIVAN COUNTY NEW YORK,459,0.997197419,-3.30661105,B,2,B2
35047,22264,2002,8.992094862,SAN MIGUEL COUNTY NEW MEXICO,177,0.79500539,-8.197089472,C,2,C2
54083,17353,2006,11.55996081,RANDOLPH COUNTY WEST VIRGINIA,212,1.221690774,-10.33827004,C,2,C2
23011,65772,2013,3.060572888,KENNEBEC COUNTY MAINE,279,0.424192666,-2.636380222,B,2,B2
39155,109265,2021,1.84963163,TRUMBULL COUNTY OHIO,392,0.358760811,-1.490870819,B,2,B2
33013,63283,2023,3.196751102,MERRIMACK COUNTY NEW HAMPSHIRE,415,0.655784334,-2.540966768,B,2,B2
40147,29429,2031,6.901355805,WASHINGTON COUNTY OKLAHOMA,277,0.941248428,-5.960107377,C,2,C2
18039,82212,2031,2.470442271,ELKHART COUNTY INDIANA,423,0.514523427,-1.955918844,B,2,B2
54025,25738,2034,7.902711943,GREENBRIER COUNTY WEST VIRGINIA,413,1.604631284,-6.298080659,C,2,C2
46029,18315,2037,11.12203112,CODINGTON COUNTY SOUTH DAKOTA,334,1.823641824,-9.298389296,C,2,C2
19193,41562,2037,4.901111592,WOODBURY COUNTY IOWA,279,0.671286271,-4.229825321,B,2,B2
22003,13606,2040,14.99338527,ALLEN PARISH LOUISIANA,389,2.85903278,-12.13435249,C,2,C2
55063,50360,2041,4.052819698,LA CROSSE COUNTY WISCONSIN,506,1.004765687,-3.048054011,B,2,B2
39093,126658,2044,1.613794628,LORAIN COUNTY OHIO,716,0.565301836,-1.048492792,B,2,B2
38067,10219,2048,20.04109991,PEMBINA COUNTY NORTH DAKOTA,140,1.369997064,-18.67110285,C,2,C2
20113,20668,2048,9.909038127,MCPHERSON COUNTY KANSAS,117,0.56609251,-9.342945617,C,2,C2
29209,27798,2059,7.407007698,STONE COUNTY MISSOURI,63,0.22663501,-7.180372688,C,2,C2
42119,21086,2064,9.788485251,UNION COUNTY PENNSYLVANIA,304,1.441714882,-8.346770369,C,2,C2
36011,44166,2066,4.677806457,CAYUGA COUNTY NEW YORK,347,0.785672237,-3.89213422,B,2,B2
